PROTEIN,TYPE,GENE
K11905,YPK,y0039 y2680
K11905,YPA,YPA_0039 YPA_0784
K11905,YPN,YPN_0036 YPN_2490
K11905,YPM,YP_1378 YP_3066
K11905,YPP,YPDSF_0195 YPDSF_1487
K11905,YPG,YpAngola_A2996 YpAngola_A3903
K11905,YPZ,YPZ3_1356 YPZ3_3267
K11905,YPT,A1122_07345 A1122_18475
K11905,YPD,YPD4_1322 YPD4_3259
K11905,YPX,YPD8_1311 YPD8_3257
K11905,YPH,YPC_0047 YPC_2666
K11905,YPW,CH59_1617 CH59_350
K11905,YPJ,CH55_1050 CH55_2855
K11905,YPV,BZ15_2065 BZ15_4031
K11905,YPL,CH46_1382 CH46_3638
K11905,YPS,YPTB1505 YPTB3636
K11905,YPO,BZ17_1012 BZ17_2962
K11905,YPI,YpsIP31758_0315 YpsIP31758_0803 YpsIP31758_2486
K11905,YPY,YPK_0388 YPK_2584
K11905,YPB,YPTS_1613 YPTS_3820
K11905,YPQ,DJ40_2770 DJ40_3266 DJ40_708
K11905,YPU,BZ21_2958 BZ21_841
K11905,YPR,BZ20_2471 BZ20_2926 BZ20_2958 BZ20_461
K11905,YPC,BZ23_1119 BZ23_3246
K11905,YPF,BZ19_2586 BZ19_3107 BZ19_942
K11905,YEL,LC20_00923
K11905,YSI,BF17_05865
K11905,YAL,AT01_1879
K11905,YFR,AW19_2447 AW19_2496
K11905,YIN,CH53_3427
K11905,YKR,CH54_3291 CH54_3339
K11905,YRO,CH64_1884
K11905,YAK,ACZ76_05400
K11905,SSJ,SSON53_01270
K11905,ECA,ECA3443
K11905,PATR,EV46_17050
K11905,PATO,GZ59_34580
K11905,PCT,PC1_3253
K11905,PCC,PCC21_032400
K11905,PCV,BCS7_14490 BCS7_16390
K11905,PWA,Pecwa_1072
K11905,PEC,W5S_0964
K11905,EAM,EAMY_3202
K11905,EAY,EAM_0398
K11905,EBI,EbC_04220
K11905,PLU,plu0370 plu3222 plu4199
K11905,PAY,PAU_00286 PAU_03815
K11905,PTT,VY86_03420 VY86_10120 VY86_22260
K11905,ENC,ECL_01820
K11905,ENO,ECENHK_15785
K11905,ECLO,ENC_09090
K11905,EEC,EcWSU1_01559
K11905,ECLA,ECNIH3_09275 ECNIH3_11375
K11905,ECLC,ECR091_09250 ECR091_11315
K11905,ECLG,EC036_23180
K11905,ECLN,ECNIH4_06860
K11905,ECLI,ECNIH5_09265 ECNIH5_10450
K11905,ECLX,LI66_09490 LI66_11815
K11905,ECLY,LI62_13665
K11905,EAS,Entas_1943 Entas_3858
K11905,EAU,DI57_03430
K11905,EAE,EAE_20685
K11905,ENR,H650_11145
K11905,ESA,ESA_02375
K11905,CSK,ES15_2474
K11905,CSZ,CSSP291_11060
K11905,CSI,P262_03608
K11905,CSJ,CSK29544_03683
K11905,CCON,AFK62_07295
K11905,CTU,CTU_15810
K11905,KPN,KPN_03181
K11905,KPU,KP1_3366
K11905,KPM,KPHS_32460
K11905,KPP,A79E_1987
K11905,KPK,A593_00810
K11905,KPH,KPNIH24_12285
K11905,KPZ,KPNIH27_15500
K11905,KPV,KPNIH29_16210
K11905,KPW,KPNIH30_16495
K11905,KPY,KPNIH31_15680
K11905,KPG,KPNIH32_16390
K11905,KPC,KPNIH10_15970
K11905,KPQ,KPR0928_15945
K11905,KPT,VK055_0202
K11905,KPE,KPK_0935 KPK_2056
K11905,KPO,KPN2242_14245
K11905,KPR,KPR_1854 KPR_3168
K11905,KPJ,N559_2030
K11905,KPI,D364_11495
K11905,KPA,KPNJ1_02196
K11905,KPS,KPNJ2_02155
K11905,KPX,PMK1_00662 PMK1_04614
K11905,KPB,FH42_07355
K11905,KPNE,KU54_010125
K11905,KPNU,LI86_10080
K11905,KVA,Kvar_1935
K11905,KVD,KR75_24595
K11905,KVQ,SP68_04875
K11905,KOX,KOX_18870 KOX_25940
K11905,KOE,A225_2643 A225_4091
K11905,KOY,J415_11625 J415_18765
K11905,KOK,KONIH1_12955 KONIH1_20240
K11905,KOM,HR38_17215 HR38_24080
K11905,KMI,VW41_06710
K11905,SPE,Spro_1803
K11905,SMAF,D781_1699
K11905,SFW,WN53_18545
K11905,SFO,Z042_07990
K11905,PMR,PMI0747
K11905,PMIB,BB2000_0819(tssC)
K11905,ETE,ETEE_3949 ETEE_4090
K11905,ETC,ETAC_09340
K11905,EDW,QY76_10120 QY76_10795
K11905,EDL,AAZ33_09635 AAZ33_10310
K11905,DDC,Dd586_1292
K11905,DDD,Dda3937_00815
K11905,DZE,Dd1591_2805
K11905,DZC,W909_06580
K11905,XBO,XBJ1_0265
K11905,XBV,XBW1_0235
K11905,XNE,XNC1_4551
K11905,XNM,XNC2_4397
K11905,XDO,XDD1_3763
K11905,XPO,XPG1_0227
K11905,PAM,PANA_4131
K11905,PAJ,PAJ_p0159
K11905,PAO,Pat9b_3454
K11905,PANT,PSNIH1_03480
K11905,RAH,Rahaq_4588
K11905,RAQ,Rahaq2_4596
K11905,RAA,Q7S_23471
K11905,PSI,S70_09600
K11905,PSX,DR96_1262
K11905,EBT,EBL_c12030
K11905,ROR,RORB6_00815
K11905,RON,TE10_17705
K11905,CNT,JT31_02130
K11905,CEM,LH23_16050
K11905,CEN,LH86_15110
K11905,CED,LH89_05215
K11905,PGE,LG71_07960 LG71_15915 LG71_22620
K11905,HAV,AT03_05100 AT03_08810
K11905,KSA,C813_19295
K11905,PFQ,QQ39_08450 QQ39_14795
K11905,EBF,D782_3636
K11905,AAP,NT05HA_1853
K11905,DJA,HY57_12570
K11905,VCH,VCA0109
K11905,VCF,IR04_00480
K11905,VCE,Vch1786_II0903
K11905,VCJ,VCD_000135
K11905,VCO,VC0395_0029
K11905,VCR,VC395_A0102
K11905,VCM,VCM66_A0107
K11905,VCI,O3Y_13983
K11905,VCL,VCLMA_B0097
K11905,VCQ,EN18_04270
K11905,VCS,MS6_A0092
K11905,VCX,VAA049_1799
K11905,VCZ,VAB027_920
K11905,VPA,VP1404
K11905,VPB,VPBB_1319
K11905,VPK,M636_14820
K11905,VHA,VIBHAR_05861
K11905,VCA,M892_22415
K11905,VAG,N646_3988
K11905,VSP,VS_II0995
K11905,VEX,VEA_000439
K11905,VFU,vfu_B01178
K11905,VNI,VIBNI_B0339
K11905,VAN,VAA_02835
K11905,LAG,N175_17350
K11905,VAU,VANGNB10_cII0072(gp25-vc)
K11905,VCY,IX92_19600
K11905,VCT,JV59_19700
K11905,VTU,IX91_04970
K11905,VFI,VF_1002
K11905,VFM,VFMJ11_1085 VFMJ11_A0821
K11905,VSA,VSAL_I1122(vasS)
K11905,AWD,AWOD_II_0113 AWOD_I_0992(vasS)
K11905,PAE,PA1659
K11905,PAEV,N297_1705
K11905,PAEI,N296_1705
K11905,PAU,PA14_43020
K11905,PAP,PSPA7_3613
K11905,PAG,PLES_36681
K11905,PAF,PAM18_3387
K11905,PNC,NCGM2_2557
K11905,PAEB,NCGM1900_4908
K11905,PDK,PADK2_17410
K11905,PSG,G655_16890
K11905,PRP,M062_08830
K11905,PAER,PA1R_gp5240
K11905,PAEM,U769_17445 U769_22695
K11905,PAEL,T223_18775
K11905,PAES,SCV20265_3752
K11905,PAEU,BN889_01775
K11905,PAEG,AI22_16265
K11905,PAEC,M802_1702
K11905,PAEO,M801_1704
K11905,PPU,PP_2622 PP_4076
K11905,PPF,Pput_2125
K11905,PPG,PputGB1_3226
K11905,PPW,PputW619_3242
K11905,PPI,YSA_00332
K11905,PPX,T1E_0052 T1E_0413
K11905,PPJ,RK21_01107
K11905,PST,PSPTO_2545 PSPTO_5431
K11905,PSYR,N018_10905
K11905,PCI,PCH70_24010 PCH70_25770
K11905,PFO,Pfl01_5593
K11905,PFS,PFLU_3546
K11905,PFE,PSF113_5826(tssE2)
K11905,PFC,PflA506_2410(tssE2)
K11905,PFN,HZ99_05035
K11905,PFW,PF1751_v1c29840(tssE)
K11905,PFB,VO64_0707
K11905,PFF,PFLUOLIPICF721270
K11905,PPZ,H045_06790
K11905,PMAN,OU5_3567
K11905,PTV,AA957_27345
K11905,PEN,PSEEN0525
K11905,PMY,Pmen_0092
K11905,PSZ,PSTAB_4079
K11905,PSC,A458_00690
K11905,PSJ,PSJM300_03075
K11905,PSH,Psest_0131
K11905,PSTU,UIB01_00615
K11905,PSTT,CH92_03120
K11905,PBM,CL52_00980
K11905,PPUU,PputUW4_03072(tssE)
K11905,PDR,H681_03910
K11905,PRE,PCA10_01760
K11905,PSV,PVLB_09880
K11905,PSK,U771_18925
K11905,PKC,PKB_2800
K11905,PCH,EY04_30130
K11905,PCZ,PCL1606_01100
K11905,PCP,JM49_00835
K11905,PALK,PSAKL28_21070
K11905,PSW,LK03_15800
K11905,PPV,NJ69_05075
K11905,PSES,PSCI_5044
K11905,PSEM,TO66_31025
K11905,PSEC,CCOS191_2046
K11905,SWD,Swoo_2527
K11905,MAQ,Maqu_3731
K11905,MHC,MARHY3633
K11905,MAD,HP15_3474
K11905,MARI,ACP86_07915
K11905,PIN,Ping_0020
K11905,PSY,PCNPT3_08455
K11905,MVS,MVIS_2824(mts2-Q)
K11905,FPZ,LA55_941
K11905,FRF,LO80_01600
K11905,PSAL,PSLF89_3105
K11905,AEH,Mlg_0047
K11905,HHA,Hhal_0158
K11905,HEL,HELO_2921
K11905,HAM,HALO0924
K11905,MMW,Mmwyl1_1198
K11905,MME,Marme_3668
K11905,MPC,Mar181_2491
K11905,GSN,YC6258_01782
K11905,AHA,AHA_1834
K11905,AHJ,V469_13160
K11905,AHI,VU14_13055
K11905,ASA,ASA_2468
K11905,TAU,Tola_0196
K11905,GAP,GAPWK_1935
K11905,FPP,FPB0191_01745 FPB0191_01933
K11905,SALV,SALWKB2_0921
K11905,RPJ,N234_23085
K11905,REU,Reut_B5259
K11905,RME,Rmet_0617
K11905,CBW,RR42_s0251
K11905,BMA,BMAA0741
K11905,BMV,BMASAVP1_0607
K11905,BML,BMA10229_0718
K11905,BMN,BMA10247_A1676
K11905,BMAL,DM55_4701
K11905,BMAE,DM78_3358
K11905,BMAQ,DM76_3653
K11905,BMAI,DM57_11885
K11905,BMAF,DM51_4441
K11905,BMAZ,BM44_4692
K11905,BMAB,BM45_3166
K11905,BPS,BPSS1499
K11905,BPM,BURPS1710b_A0537
K11905,BPL,BURPS1106A_A2028
K11905,BPD,BURPS668_A2126
K11905,BPSE,BDL_4811
K11905,BPSM,BBQ_4645
K11905,BPSU,BBN_4948
K11905,BPSD,BBX_3973
K11905,BPZ,BP1026B_II1592(tssE-5)
K11905,BPQ,BPC006_II2011
K11905,BPK,BBK_4113
K11905,BPSH,DR55_3774
K11905,BPSA,BBU_4535
K11905,BPSO,X996_3559
K11905,BTE,BTH_II0867
K11905,BTQ,BTQ_4154
K11905,BTJ,BTJ_5187
K11905,BTZ,BTL_3657
K11905,BTD,BTI_3985
K11905,BTV,BTHA_4231
K11905,BTHE,BTN_5640
K11905,BTHM,BTRA_3650
K11905,BTHA,DR62_3406
K11905,BTHL,BG87_3610
K11905,BOK,DM82_5813
K11905,BOC,BG90_4818
K11905,BUT,X994_5616
K11905,BVI,Bcep1808_4428 Bcep1808_5150
K11905,BVE,AK36_3743
K11905,BCEN,DM39_6834
K11905,BCEW,DM40_4776
K11905,BCEO,I35_4151
K11905,BAC,BamMC406_3643
K11905,BDL,AK34_3963
K11905,BPYR,ABD05_17855
K11905,BGL,bglu_2g11110
K11905,BGU,KS03_4809
K11905,BGE,BC1002_4295
K11905,BGF,BC1003_0976 BC1003_4695
K11905,BYI,BYI23_C000010 BYI23_C001900 BYI23_C010300
K11905,BUK,MYA_4071 MYA_4724 MYA_5772
K11905,BPX,BUPH_01734
K11905,BUO,BRPE64_CCDS04710
K11905,BUE,BRPE67_CCDS00620 BRPE67_CCDS10320 BRPE67_CCDS12830
K11905,BUL,BW21_5979
K11905,BUB,BW23_4468 BW23_4506
K11905,BFN,OI25_5912
K11905,PPUL,RO07_20935
K11905,POX,MB84_02265
K11905,BPT,Bpet2449
K11905,PUT,PT7_2338
K11905,CARE,LT85_2310
K11905,HHE,HH0246
K11905,HBI,HBZC1_17680
K11905,HCP,HCN_1424
K11905,HCB,HCBAA847_1596
K11905,CJL,PJ17_05125
K11905,CCO,CCC13826_1183
K11905,CLM,UPTC16712_0881
K11905,CLN,UPTC3659_1094
K11905,CPEL,CPEL_0984
K11905,CSM,CSUB8521_1047
K11905,CSF,CSUB8523_1153
K11905,ANT,Arnit_1744
K11905,ARC,ABLL_2188
K11905,GSU,GSU0430(tssE)
K11905,GSK,KN400_0399(tssE)
K11905,GME,Gmet_3312(tssE)
K11905,GPI,GPICK_15135
K11905,GSB,GSUB_05420
K11905,PCA,Pcar_2817(tssE)
K11905,DES,DSOUD_3253(tssE)
K11905,DSA,Desal_0421
K11905,DAF,Desaf_2243
K11905,DHY,DESAM_21882
K11905,DSF,UWK_02702
K11905,MXA,MXAN_4810
K11905,MFU,LILAB_32010
K11905,MSD,MYSTI_03172 MYSTI_04768
K11905,CCX,COCOR_04145
K11905,SUR,STAUR_1809
K11905,AGE,AA314_05720 AA314_08443
K11905,SCL,sce4996
K11905,SCU,SCE1572_30380
K11905,CCRO,CMC5_030380
K11905,SAMY,DB32_005960
K11905,HOH,Hoch_3047
K11905,PSF,PSE_1858
K11905,AZL,AZL_a05030
K11905,LFC,LFE_2276
K11906,ECE,Z0257
K11906,ECS,ECs0226
K11906,ECF,ECH74115_0240
K11906,ETW,ECSP_0229
K11906,ELX,CDCO157_0223
K11906,EOJ,ECO26_0228
K11906,EOI,ECO111_0226
K11906,EOH,ECO103_0221 ECO103_3373
K11906,EOK,G2583_0233
K11906,ELR,ECO55CA74_01095
K11906,ECC,c3401
K11906,ECP,ECP_0232 ECP_2821
K11906,ECI,UTI89_C0245 UTI89_C3208
K11906,ECV,APECO1_1764(aec24) APECO1_3696
K11906,ECX,EcHS_A0232
K11906,ECW,EcE24377A_0234 EcE24377A_3133
K11906,ECY,ECSE_0222
K11906,ECR,ECIAI1_0235
K11906,ECQ,ECED1_0233
K11906,ECK,EC55989_0226 EC55989_3320
K11906,EUM,ECUMN_0222
K11906,ECZ,ECS88_0240 ECS88_3104
K11906,ELO,EC042_0218 EC042_4544
K11906,ELN,NRG857_01120 NRG857_13875
K11906,ESE,ECSF_2624
K11906,ESO,O3O_04930
K11906,ESM,O3M_20350
K11906,ESL,O3K_20450
K11906,EKO,EKO11_0928 EKO11_3696
K11906,EKF,KO11_01080 KO11_08740
K11906,EAB,ECABU_c31050
K11906,EIH,ECOK1_0229 ECOK1_3212
K11906,ENA,ECNA114_2871
K11906,ELU,UM146_02390 UM146_16195
K11906,EUN,UMNK88_235
K11906,ELW,ECW_m0225(etsN) ECW_m3055
K11906,ELL,WFL_01080 WFL_14920
K11906,ELC,i14_3123
K11906,ELD,i02_3123
K11906,ELF,LF82_021 LF82_444
K11906,ECOL,LY180_01115 LY180_14445
K11906,ECOI,ECOPMV1_00234 ECOPMV1_03095
K11906,ECOJ,P423_15530 P423_15545
K11906,EFE,EFER_1970
K11906,STY,STY0303
K11906,STT,t2583
K11906,SEX,STBHUCCB_27380
K11906,SENT,TY21A_13115
K11906,STM,STM0280
K11906,SEO,STM14_0328
K11906,SEV,STMMW_02851
K11906,SEY,SL1344_0275(sciN)
K11906,SEM,STMDT12_C02750
K11906,SEJ,STMUK_0283
K11906,SEB,STM474_0292
K11906,SEF,UMN798_0304(sciN)
K11906,SETU,STU288_13345 STU288_13365
K11906,SETC,CFSAN001921_16005
K11906,SEEN,SE451236_07415
K11906,SENR,STMDT2_02761(sciN)
K11906,SEND,DT104_02791(sciN)
K11906,SENI,CY43_01400
K11906,SPT,SPA2484 SPA2488
K11906,SEK,SSPA2319 SSPA2323
K11906,SEI,SPC_0288
K11906,SEC,SC0273
K11906,SEH,SeHA_C0318
K11906,SHB,SU5_0922
K11906,SENH,CFSAN002069_07740
K11906,SEEH,SEEH1578_10495
K11906,SEE,SNSL254_A0306
K11906,SENN,SN31241_12700
K11906,SEW,SeSA_A0312
K11906,SEA,SeAg_B1105
K11906,SENS,Q786_05150
K11906,SED,SeD_A0301 SeD_A1224
K11906,SEG,SG1037
K11906,SEL,SPUL_1910
K11906,SEGA,SPUCDC_1896
K11906,SEEC,CFSAN002050_07940
K11906,SEEP,I137_08665
K11906,SENE,IA1_01485
K11906,SENC,SEET0819_08330
K11906,SES,SARI_02600 SARI_02604 SARI_02713
K11906,SBV,N643_13450
K11906,YPE,YPO0512 YPO1487 YPO2935 YPO3596
K11906,YPK,y0278 y1548 y2682 y3661
K11906,YPA,YPA_0783 YPA_2127 YPA_3399 YPA_3583
K11906,YPN,YPN_0387 YPN_1445 YPN_2491 YPN_3576
K11906,YPM,YP_1377 YP_2760 YP_3667 YP_3954
K11906,YPP,YPDSF_0202 YPDSF_1488 YPDSF_2044 YPDSF_3122
K11906,YPG,YpAngola_A2874 YpAngola_A2954 YpAngola_A2995
K11906,YPZ,YPZ3_0497 YPZ3_1355 YPZ3_2584 YPZ3_3087
K11906,YPT,A1122_02515 A1122_07380 A1122_11295 A1122_18480
K11906,YPD,YPD4_0450 YPD4_1321 YPD4_2570 YPD4_3075
K11906,YPX,YPD8_0451 YPD8_1310 YPD8_2565 YPD8_3251
K11906,YPH,YPC_1462 YPC_2667 YPC_4024 YPC_4425
K11906,YPW,CH59_1348 CH59_2349 CH59_3138 CH59_351
K11906,YPJ,CH55_1051 CH55_2254 CH55_2607 CH55_4143
K11906,YPV,BZ15_2066 BZ15_3058 BZ15_4038 BZ15_595
K11906,YPL,CH46_1389 CH46_2169 CH46_3639 CH46_401
K11906,YPS,YPTB0653 YPTB1504 YPTB2663 YPTB3632
K11906,YPO,BZ17_1013 BZ17_1904 BZ17_2966 BZ17_3975
K11906,YPI,YpsIP31758_0319 YpsIP31758_0802 YpsIP31758_1370 YpsIP31758_2487 YpsIP31758_3424
K11906,YPY,YPK_0392 YPK_1482 YPK_2585 YPK_3553
K11906,YPB,YPTS_0676 YPTS_1612 YPTS_2760 YPTS_3816
K11906,YPQ,DJ40_1716 DJ40_2774 DJ40_3228 DJ40_3265 DJ40_3880 DJ40_709
K11906,YPU,BZ21_1960 BZ21_2954 BZ21_4035 BZ21_840
K11906,YPR,BZ20_1442 BZ20_2475 BZ20_2925 BZ20_3546 BZ20_462
K11906,YPC,BZ23_1118 BZ23_129 BZ23_2244 BZ23_3242
K11906,YPF,BZ19_2027 BZ19_2587 BZ19_3103 BZ19_7 BZ19_941
K11906,YEN,YE2688
K11906,YEP,YE105_C1599
K11906,YEY,Y11_15671
K11906,YEL,LC20_00922
K11906,YEW,CH47_2036
K11906,YET,CH48_3196
K11906,YEF,FORC2_2665
K11906,YEE,YE5303_31161
K11906,YSI,BF17_05845 BF17_11550 BF17_22800
K11906,YAL,AT01_1875 AT01_4079
K11906,YFR,AW19_2448 AW19_2506
K11906,YIN,CH53_2551 CH53_3426
K11906,YKR,CH54_3281 CH54_3338
K11906,YRO,CH64_1885 CH64_3135
K11906,YAK,ACZ76_05405
K11906,SSN,SSON_0247
K11906,SSJ,SSON53_01250
K11906,ECA,ECA3439
K11906,PATR,EV46_17030
K11906,PATO,GZ59_34540
K11906,PCT,PC1_3249
K11906,PCC,PCC21_032360
K11906,PCV,BCS7_14495 BCS7_16370
K11906,PWA,Pecwa_1076 Pecwa_2467
K11906,PEC,W5S_0968 W5S_2440
K11906,ETA,ETA_06110
K11906,EPY,EpC_06150
K11906,EPR,EPYR_00646
K11906,EAM,EAMY_3027 EAMY_3212
K11906,EAY,EAM_0383 EAM_0572
K11906,EBI,EbC_04210 EbC_05770
K11906,ERJ,EJP617_04840
K11906,PLU,plu0366 plu3223 plu4200
K11906,PAY,PAU_00282 PAU_03785 PAU_03816
K11906,PTT,VY86_03415 VY86_10100 VY86_11335 VY86_11795 VY86_22265
K11906,ENC,ECL_01533(vasD) ECL_01819(vasD)
K11906,ENO,ECENHK_13245 ECENHK_15790
K11906,ECLO,ENC_07180
K11906,EEC,EcWSU1_02697(vasD)
K11906,ENL,A3UG_13495
K11906,ECLA,ECNIH3_09270 ECNIH3_11380 ECNIH3_12600
K11906,ECLC,ECR091_09245 ECR091_11320 ECR091_12535
K11906,ECLG,EC036_23190 EC036_26100
K11906,ECLE,ECNIH2_13085
K11906,ECLN,ECNIH4_09740
K11906,ECLI,ECNIH5_09260 ECNIH5_10445 ECNIH5_12545
K11906,ECLX,LI66_09485 LI66_11825 LI66_11855 LI66_12905
K11906,ECLY,LI62_13710 LI62_14590
K11906,ECLZ,LI64_12640
K11906,EAS,Entas_1942 Entas_3854
K11906,EAU,DI57_03425 DI57_05975
K11906,EAE,EAE_19440 EAE_20690 EAE_21905
K11906,EAR,CCG29553 CCG29998
K11906,ENR,H650_00755 H650_11180
K11906,ESA,ESA_00145 ESA_02038 ESA_03948
K11906,CSK,ES15_2185(vasD1) ES15_2816(vasD2) ES15_3852(vasD3)
K11906,CSZ,CSSP291_18250 CSSP291_20818
K11906,CSI,P262_00044
K11906,CSJ,CSK29544_00881 CSK29544_03316 CSK29544_1p0049
K11906,CCON,AFK62_00380 AFK62_14045
K11906,CTU,CTU_00650 CTU_12180 CTU_19560
K11906,KPN,KPN_02248
K11906,KPU,KP1_2421 KP1_3367
K11906,KPM,KPHS_23190 KPHS_32470
K11906,KPP,A79E_1986 A79E_2819
K11906,KPK,A593_00815 A593_21570
K11906,KPH,KPNIH24_12280 KPNIH24_16610
K11906,KPZ,KPNIH27_11200 KPNIH27_15505
K11906,KPV,KPNIH29_11490 KPNIH29_16215
K11906,KPW,KPNIH30_12080 KPNIH30_16500
K11906,KPY,KPNIH31_11120 KPNIH31_15685
K11906,KPG,KPNIH32_11920 KPNIH32_16395
K11906,KPC,KPNIH10_11625 KPNIH10_15975
K11906,KPQ,KPR0928_11635 KPR0928_15950
K11906,KPT,VK055_0201(sciN2) VK055_1089(sciN)
K11906,KPE,KPK_0936 KPK_2055
K11906,KPO,KPN2242_09845 KPN2242_14250
K11906,KPR,KPR_1855 KPR_3169
K11906,KPJ,N559_2029 N559_2910
K11906,KPI,D364_06960 D364_11500
K11906,KPA,KPNJ1_02195 KPNJ1_03080
K11906,KPS,KPNJ2_02154 KPNJ2_03078
K11906,KPX,PMK1_00661 PMK1_03741 PMK1_04615
K11906,KPB,FH42_03005 FH42_07360
K11906,KPNE,KU54_010120 KU54_014580
K11906,KPNU,LI86_10075 LI86_14515
K11906,KVA,Kvar_2954
K11906,KVD,KR75_19390
K11906,KVQ,SP68_00430 SP68_04880
K11906,KOX,KOX_12010 KOX_18865 KOX_22400 KOX_25945
K11906,KOE,A225_2642 A225_3358 A225_4092
K11906,KOY,J415_11620 J415_15170 J415_18770
K11906,KOK,KONIH1_12950 KONIH1_16465 KONIH1_20245
K11906,KOM,HR38_17210 HR38_20715 HR38_24085
K11906,KMI,VW41_06705
K11906,CRO,ROD_27731(cts1N)
K11906,SPE,Spro_1802 Spro_2997
K11906,SMAF,D781_1695 D781_2771
K11906,SMW,SMWW4_v1c30080(vasD) SMWW4_v1c31480
K11906,SMAR,SM39_2471
K11906,SMAC,SMDB11_2252
K11906,SERF,L085_12905 L085_13810
K11906,SERS,SERRSCBI_14490 SERRSCBI_15170
K11906,SFW,WN53_18565
K11906,SFO,Z042_07970 Z042_15505 Z042_16105
K11906,PMR,PMI0743
K11906,PMIB,BB2000_0815(tssG)
K11906,ETE,ETEE_3950 ETEE_4091
K11906,ETC,ETAC_09345
K11906,EDW,QY76_10115 QY76_10790
K11906,EDL,AAZ33_09640 AAZ33_10315
K11906,DDC,Dd586_1296
K11906,DDD,Dda3937_00811
K11906,DZE,Dd1591_2801
K11906,DZC,W909_06600
K11906,XBO,XBJ1_0269 XBJ1_2108
K11906,XBV,XBW1_0231
K11906,XNE,XNC1_2520 XNC1_4547
K11906,XNM,XNC2_2421 XNC2_4393
K11906,XDO,XDD1_1896 XDD1_2042 XDD1_3759
K11906,XPO,XPG1_0231 XPG1_1834
K11906,PAM,PANA_2372 PANA_4132
K11906,PLF,PANA5342_1722
K11906,PAJ,PAJ_1673 PAJ_p0158
K11906,PAQ,PAGR_g1656
K11906,PVA,Pvag_1022
K11906,PAO,Pat9b_2524 Pat9b_3455
K11906,KLN,LH22_10035
K11906,PANT,PSNIH1_03485
K11906,PANP,PSNIH2_15085
K11906,RAH,Rahaq_4581
K11906,RAQ,Rahaq2_0569 Rahaq2_4587 Rahaq2_4768
K11906,RAA,Q7S_23426 Q7S_24521
K11906,PSI,S70_09580
K11906,PSX,DR96_1266
K11906,EBT,EBL_c11840
K11906,RON,TE10_17755
K11906,CNT,JT31_02135
K11906,CEM,LH23_16045
K11906,CEN,LH86_15105
K11906,CED,LH89_05195
K11906,PGE,LG71_05630 LG71_07940 LG71_15910 LG71_22625
K11906,HAV,AT03_05080 AT03_08805
K11906,KSA,C813_01420 C813_19290
K11906,KIN,AB182_15225
K11906,PFQ,QQ39_05590 QQ39_08445 QQ39_14800
K11906,EBF,D782_3640
K11906,PSTS,E05_34880
K11906,AAP,NT05HA_1857
K11906,XOO,XOO3483
K11906,XOM,XOO_3296
K11906,XOP,PXO_02043
K11906,XOY,AZ54_06385
K11906,XOR,XOC_1351
K11906,XOZ,BE73_16555
K11906,XTN,FD63_13825
K11906,FAU,Fraau_1795
K11906,VCH,VCA0113
K11906,VCF,IR04_00500
K11906,VCE,Vch1786_II0907
K11906,VCJ,VCD_000131
K11906,VCO,VC0395_0025
K11906,VCR,VC395_A0106
K11906,VCM,VCM66_A0111
K11906,VCI,O3Y_14003
K11906,VCL,VCLMA_B0101
K11906,VCQ,EN18_04290
K11906,VCS,MS6_A0096
K11906,VCX,VAA049_1795
K11906,VCZ,VAB027_916
K11906,VVU,VV2_0444
K11906,VVY,VVA0994
K11906,VVM,VVMO6_03914
K11906,VVL,VV93_v1c39400(vasD)
K11906,VPA,VP1412 VPA1042
K11906,VPB,VPBB_1327 VPBB_A0948
K11906,VPK,M636_04605 M636_14780
K11906,VPF,M634_23130
K11906,VPH,VPUCM_20949
K11906,VHA,VIBHAR_05853
K11906,VCA,M892_22455
K11906,VAG,N646_3996 N646_4413
K11906,VSP,VS_1321 VS_II0987
K11906,VEX,VEA_000013 VEA_000431
K11906,VFU,vfu_B00783 vfu_B01182
K11906,VNI,VIBNI_A1428 VIBNI_B0343
K11906,VAN,VAA_02840 VAA_03025
K11906,LAG,N175_07405 N175_17370
K11906,VAU,VANGNB10_cI1477c VANGNB10_cII0076(vtsD)
K11906,VCY,IX92_06565 IX92_19640
K11906,VCT,JV59_19660 JV59_31960
K11906,VTU,IX91_05010 IX91_07115 IX91_23820
K11906,VFI,VF_0996
K11906,VFM,VFMJ11_1078 VFMJ11_A0806
K11906,VSA,VSAL_I1116(vasD) VSAL_I1180(vasD-1)
K11906,AWD,AWOD_II_0117(vasD) AWOD_II_1013(vasD-1) AWOD_I_0986(vasD)
K11906,PPR,PBPRA0659
K11906,PAE,PA0080 PA1666
K11906,PAEV,N297_1712 N297_86
K11906,PAEI,N296_1712 N296_86
K11906,PAU,PA14_00960 PA14_42940
K11906,PAP,PSPA7_0151 PSPA7_3606
K11906,PAG,PLES_00811 PLES_36611
K11906,PAF,PAM18_0082 PAM18_3381
K11906,PNC,NCGM2_0084 NCGM2_2564
K11906,PAEB,NCGM1900_0077 NCGM1900_4901
K11906,PDK,PADK2_00420 PADK2_17375
K11906,PSG,G655_00410 G655_16855
K11906,PRP,M062_00415 M062_08865
K11906,PAER,PA1R_gp3594 PA1R_gp5246
K11906,PAEM,U769_00425 U769_17400 U769_22715
K11906,PAEL,T223_00415 T223_18735
K11906,PAES,SCV20265_0081 SCV20265_3745
K11906,PAEU,BN889_00126 BN889_01784 BN889_01785
K11906,PAEG,AI22_03485 AI22_16305
